T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
kdep,papa zondo,willy will,julio98,1,-1,0
loveswater,jamis,kramff,strouticus,1,1,2
s&s,dovler,daddy,thef,0,2,1
nibbity,tuba,geoscyl,gildo,1,0,2
andonuts,jib,willy will,julio98,0,2,0
quig,musgraves,kramff,strouticus,0,2,0
s&s,dovler,geoscyl,gildo,1,0,2
andonuts,jib,quig,musgraves,1,1,2
dingus,kaptinkillem,geoscyl,gildo,0,2,1
marriott moy,dysfunkti0nal,quig,musgraves,1,1,2
dingus,kaptinkillem,quig,musgraves,1,0,2
stango,bmc,quig,musgraves,0,2,0
westballz,prince abu,dota,elicik,0,2,0
peak,argo,farthbog,nbs,1,0,2
mattdotzeb,hentai69,razz,nml,0,2,0
sastopher,derilink,reset,bigredanimebike,0,2,0
theswooper,advanced,moat,icon,0,2,0
pooodge,salt mine,sambuddy5,clyvedaddy,1,1,2
younger,thunderpaste,smitus,alchemist,0,2,1
burrito mobile,grrg,maestro,bumble,0,2,0
westballz,prince abu,farthbog,nbs,0,2,0
mattdotzeb,hentai69,sastopher,derilink,0,2,1
theswooper,advanced,sambuddy5,clyvedaddy,0,2,0
younger,thunderpaste,burrito mobile,grrg,0,2,1
westballz,prince abu,mattdotzeb,hentai69,0,2,0
theswooper,advanced,younger,thunderpaste,0,2,0
westballz,prince abu,theswooper,advanced,0,2,0
westballz,prince abu,theswooper,advanced,0,-2,-2
dota,elicik,peak,argo,0,2,1
razz,nml,reset,bigredanimebike,0,2,0
moat,icon,pooodge,salt mine,1,0,2
smitus,alchemist,maestro,bumble,0,2,1
burrito mobile,grrg,dota,elicik,0,2,0
sambuddy5,clyvedaddy,razz,nml,1,1,2
sastopher,derilink,pooodge,salt mine,0,2,0
farthbog,nbs,smitus,alchemist,0,2,0
burrito mobile,grrg,razz,nml,1,0,2
sastopher,derilink,farthbog,nbs,0,2,0
mattdotzeb,hentai69,razz,nml,0,2,0
younger,thunderpaste,sastopher,derilink,0,2,0
mattdotzeb,hentai69,younger,thunderpaste,0,2,1
theswooper,advanced,mattdotzeb,hentai69,0,2,0
chillindude,hat,crispy,ringler,0,0,-1
silent e,bao the wyld,boptimus,karn1vore,0,0,-1
ed,jrad,redribb0n,fumofuu,0,2,0
watchingtime,thecivilyoshi,ruckus,lank,1,0,2
widl,r2dliu,krusty,smillzor,0,2,0
thrash,weeaboo,matty,mj,0,2,0
risky,kaimen,etai,vudoo,0,2,1
onepunchman,arcnatural,exvertus,emperorbutt,0,2,0
chillindude,hat,silent e,bao the wyld,0,2,0
ed,jrad,ruckus,lank,0,2,0
widl,r2dliu,thrash,weeaboo,0,2,0
risky,kaimen,onepunchman,arcnatural,0,2,1
chillindude,hat,ed,jrad,0,2,0
widl,r2dliu,risky,kaimen,0,2,0
chillindude,hat,widl,r2dliu,0,2,1
chillindude,hat,widl,r2dliu,0,-2,-2
crispy,ringler,boptimus,karn1vore,1,-1,0
redribb0n,fumofuu,watchingtime,thecivilyoshi,1,0,2
krusty,smillzor,matty,mj,0,2,0
etai,vudoo,exvertus,emperorbutt,0,2,0
onepunchman,arcnatural,boptimus,karn1vore,0,0,-1
thrash,weeaboo,watchingtime,thecivilyoshi,0,2,0
ruckus,lank,krusty,smillzor,0,2,0
silent e,bao the wyld,etai,vudoo,1,0,2
onepunchman,arcnatural,thrash,weeaboo,1,0,2
ruckus,lank,etai,vudoo,0,2,1
ed,jrad,thrash,weeaboo,0,2,0
risky,kaimen,ruckus,lank,0,2,1
ed,jrad,risky,kaimen,0,2,1
widl,r2dliu,ed,jrad,0,2,0
wobbles,nintendude,aureate,kfj,0,2,0
k8a,shwa$bb,lego,enemy unit,1,1,2
bigfoig,ycj,bluj,tuukkatime,0,2,0
joelie polie olie,milk $$$,sd rick,proxy,0,2,0
elen,kdj,horato,shubs,0,2,0
delarock,stoned toddler,uncleph1l,goad,0,2,0
bonfire10,arty,soil,22k,0,2,0
battery,hazard,capitainemitaine,rudo,1,0,2
wobbles,nintendude,lego,enemy unit,0,2,0
bigfoig,ycj,joelie polie olie,milk $$$,0,2,0
elen,kdj,delarock,stoned toddler,0,2,0
bonfire10,arty,capitainemitaine,rudo,0,2,0
wobbles,nintendude,bigfoig,ycj,0,2,0
elen,kdj,bonfire10,arty,0,2,1
wobbles,nintendude,elen,kdj,0,2,1
wobbles,nintendude,elen,kdj,0,-2,-2
aureate,kfj,k8a,shwa$bb,1,0,2
bluj,tuukkatime,sd rick,proxy,0,2,0
horato,shubs,uncleph1l,goad,0,2,0
soil,22k,battery,hazard,0,2,0
capitainemitaine,rudo,k8a,shwa$bb,1,0,2
delarock,stoned toddler,bluj,tuukkatime,0,2,0
joelie polie olie,milk $$$,horato,shubs,0,2,0
lego,enemy unit,soil,22k,0,2,0
k8a,shwa$bb,delarock,stoned toddler,0,2,0
joelie polie olie,milk $$$,lego,enemy unit,1,0,2
bigfoig,ycj,k8a,shwa$bb,0,2,0
bonfire10,arty,lego,enemy unit,0,2,0
bigfoig,ycj,bonfire10,arty,1,0,2
elen,kdj,bonfire10,arty,0,2,0
mafia,infinite numbers,pigeon,busy p,0,0,-1
basic stitch,seaghost,big l,trout oracle,0,0,-1
leet,hayrow,bendo,wawa,0,2,0
suds,primer,fang,dole,0,2,0
pig,ibdw,vidjogamer,jisu,0,2,0
jdog,blanky,dr. rainbow bear,by9,0,2,0
twisty,ses,mike,the puffy pancake,0,2,0
lecceo,zeta,chiefcherry,hotline,1,-1,0
mafia,infinite numbers,basic stitch,seaghost,0,2,0
leet,hayrow,suds,primer,0,2,0
pig,ibdw,jdog,blanky,0,2,0
twisty,ses,chiefcherry,hotline,0,2,0
mafia,infinite numbers,leet,hayrow,0,2,0
pig,ibdw,twisty,ses,0,2,0
mafia,infinite numbers,pig,ibdw,0,2,0
mafia,infinite numbers,pig,ibdw,0,-2,-2
pigeon,busy p,big l,trout oracle,1,-1,0
bendo,wawa,fang,dole,0,2,0
vidjogamer,jisu,dr. rainbow bear,by9,0,2,0
mike,the puffy pancake,lecceo,zeta,0,0,-1
chiefcherry,hotline,big l,trout oracle,0,0,-1
jdog,blanky,bendo,wawa,0,2,0
suds,primer,vidjogamer,jisu,1,1,2
basic stitch,seaghost,mike,the puffy pancake,0,2,1
chiefcherry,hotline,jdog,blanky,1,0,2
vidjogamer,jisu,basic stitch,seaghost,1,0,2
leet,hayrow,jdog,blanky,1,1,2
twisty,ses,basic stitch,seaghost,0,2,0
jdog,blanky,twisty,ses,0,2,0
pig,ibdw,jdog,blanky,0,2,0
crush,slox,jcela,kc,0,2,0
batista,ionthekid,quality steve,dennysgrandslambreakfast,1,1,2
emilywaves,admiral,pizzamaster,spell,0,2,0
emil,havok,him,maytag,0,2,0
zeo,ciz,snowman,vexoskeleton,0,2,0
zeus,flambo,alan,hannydoon,0,2,0
clue,squible,haus,danch,0,2,0
pyro,yang,hot toddy,link,1,0,2
crush,slox,quality steve,dennysgrandslambreakfast,0,2,0
emilywaves,admiral,emil,havok,0,2,0
zeo,ciz,zeus,flambo,0,2,0
clue,squible,hot toddy,link,0,2,0
crush,slox,emilywaves,admiral,0,2,0
zeo,ciz,clue,squible,0,2,0
crush,slox,zeo,ciz,0,2,0
crush,slox,clue,squible,0,-2,-2
jcela,kc,batista,ionthekid,1,0,2
pizzamaster,spell,him,maytag,0,2,0
snowman,vexoskeleton,alan,hannydoon,1,0,2
