T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
zaaa,switch,bravo,hungry pigeon,1,-2,-2
julian,w33dl0rd840,bravo,hungry pigeon,0,-2,-2
nikabod,salvadoc,julian,w33dl0rd840,0,-2,-2
stayqrispy,corleone,tolerablezero,manny,0,-2,-2
davidcanfly,burgerdon,the pretzel pimp,the cold vein,0,-2,-2
p.body,neeco,shady pyro,kwaniza,0,-2,-2
rage,savior,wyne,tonic,1,-2,-2
aperture,kevino,jekyll,2 johns,1,-2,-2
axe,hungrybox,stayqrispy,corleone,0,-2,-2
davidcanfly,burgerdon,p.body,neeco,1,-2,-2
ebay,vinodh,wyne,tonic,0,-2,-2
coolkid,thebigopness,jekyll,2 johns,0,-2,-2
axe,hungrybox,p.body,neeco,0,-2,-2
ebay,vinodh,coolkid,thebigopness,1,-2,-2
axe,hungrybox,coolkid,thebigopness,0,-2,-2
the pretzel pimp,the cold vein,shady pyro,kwaniza,1,-2,-2
jekyll,2 johns,tolerablezero,manny,1,-2,-2
wyne,tonic,shady pyro,kwaniza,0,-2,-2
davidcanfly,burgerdon,rage,savior,0,-2,-2
stayqrispy,corleone,aperture,kevino,0,-2,-2
tolerablezero,manny,wyne,tonic,1,-2,-2
davidcanfly,burgerdon,stayqrispy,corleone,1,-2,-2
p.body,neeco,wyne,tonic,0,-2,-2
ebay,vinodh,stayqrispy,corleone,0,-2,-2
p.body,neeco,ebay,vinodh,1,-2,-2
coolkid,thebigopness,ebay,vinodh,0,-2,-2
veklor,amae,wine,zap101,0,2,1
kwang,god!tucksinthesheets,breezy,pog0,1,0,2
choknater,spark,czar,hiv+,0,2,0
maps,atari,imnotgood,zopher,1,0,2
silentspectre,tang,veklor,amae,0,2,0
engdrew,datsun,breezy,pog0,1,1,2
austintacious,kpan,choknater,spark,0,2,0
son2,kmac,imnotgood,zopher,0,2,0
silentspectre,tang,breezy,pog0,0,2,0
austintacious,kpan,son2,kmac,1,0,2
silentspectre,tang,son2,kmac,0,2,0
imnotgood,zopher,wine,zap101,0,2,0
choknater,spark,kwang,god!tucksinthesheets,0,2,0
engdrew,datsun,czar,hiv+,0,2,0
veklor,amae,maps,atari,0,2,0
imnotgood,zopher,choknater,spark,1,0,2
engdrew,datsun,veklor,amae,0,2,1
breezy,pog0,choknater,spark,1,0,2
austintacious,kpan,engdrew,datsun,0,2,0
choknater,spark,austintacious,kpan,0,2,0
son2,kmac,choknater,spark,0,-2,-2
deadstorm,tafy,etmiv,weis,1,-2,-2
balloon,keithrep,frozenspade,kitsune,0,-2,-2
edwin...,generic,raxcity,kswz,0,-2,-2
mom's   spaghetti,torch,kestrel,guluheend,1,-2,-2
mango,s2j,etmiv,weis,0,-2,-2
mova,turnt_up,balloon,keithrep,1,-2,-2
animal,codi,edwin...,generic,0,-2,-2
zoap,snap,kestrel,guluheend,0,-2,-2
mango,s2j,balloon,keithrep,1,-2,-2
animal,codi,zoap,snap,0,-2,-2
balloon,keithrep,animal,codi,1,-2,-2
kestrel,guluheend,deadstorm,tafy,0,-2,-2
edwin...,generic,frozenspade,kitsune,1,-2,-2
mova,turnt_up,raxcity,kswz,0,-2,-2
etmiv,weis,mom's   spaghetti,torch,0,-2,-2
kestrel,guluheend,frozenspade,kitsune,0,-2,-2
mova,turnt_up,etmiv,weis,1,-2,-2
mango,s2j,kestrel,guluheend,1,-2,-2
zoap,snap,etmiv,weis,0,-2,-2
kestrel,guluheend,zoap,snap,1,-2,-2
balloon,keithrep,zoap,snap,0,-2,-2
sk92,eval,judge,me,0,2,0
connoreno,pimp jong illest,ridz,tempo,1,-1,0
kokichi,scav,corimon,zomb,0,2,0
akared,wonderbean,liam_butler,astropancakes,0,2,1
yista,tblades,exumer,quasar,1,0,2
kjh,duck,sk92,eval,0,2,0
ridz,tempo,kokichi,scav,0,2,0
laudandus,squid,akared,wonderbean,0,2,1
vortex,equal,exumer,quasar,0,2,1
kjh,duck,ridz,tempo,0,2,0
laudandus,squid,vortex,equal,1,0,2
kjh,duck,vortex,equal,0,-2,-2
connoreno,pimp jong illest,corimon,zomb,0,2,0
exumer,quasar,judge,me,0,2,0
akared,wonderbean,connoreno,pimp jong illest,1,0,2
kokichi,scav,liam_butler,astropancakes,0,2,1
sk92,eval,yista,tblades,0,2,0
exumer,quasar,connoreno,pimp jong illest,0,2,0
kokichi,scav,sk92,eval,1,0,2
ridz,tempo,exumer,quasar,0,2,1
laudandus,squid,sk92,eval,1,0,2
ridz,tempo,sk92,eval,1,0,2
vortex,equal,sk92,eval,0,-2,-2
timbo,spoons,big ben,colin,1,-2,-2
kidney,dethasarus rex,grasshoppa,landry!,1,-2,-2
myztek,ippo,luna,pride,0,-2,-2
panic,winslo,sgt flow,funkdealer,0,-2,-2
bladewise,nintendude,big ben,colin,0,-2,-2
tuck dynasty,drug money,grasshoppa,landry!,0,-2,-2
eddy mexico,bimbo mexico,myztek,ippo,0,-2,-2
the___cheese,ky,panic,winslo,0,-2,-2
bladewise,nintendude,tuck dynasty,drug money,0,-2,-2
eddy mexico,bimbo mexico,the___cheese,ky,0,-2,-2
bladewise,nintendude,eddy mexico,bimbo mexico,1,-2,-2
panic,winslo,timbo,spoons,0,-2,-2
myztek,ippo,kidney,dethasarus rex,0,-2,-2
grasshoppa,landry!,luna,pride,0,-2,-2
big ben,colin,sgt flow,funkdealer,0,-2,-2
panic,winslo,myztek,ippo,1,-2,-2
grasshoppa,landry!,big ben,colin,0,-2,-2
tuck dynasty,drug money,myztek,ippo,1,-2,-2
the___cheese,ky,grasshoppa,landry!,0,-2,-2
myztek,ippo,the___cheese,ky,1,-2,-2
bladewise,nintendude,the___cheese,ky,0,-2,-2
connorasada,digg,spyderj,viridian,1,-2,-2
hulka,kanti,k27,morgneer,0,-2,-2
asterisk,berk,emilywaves,lyric,1,-2,-2
maximo,mono,griff the jiff,flashburn 117,1,-2,-2
sgt5,tuesday,dolla bill bill,jc,1,-2,-2
l,nmw,spyderj,viridian,0,-2,-2
hulka,kanti,emilywaves,lyric,0,-2,-2
chip,gg7,griff the jiff,flashburn 117,0,-2,-2
tc,d..p,dolla bill bill,jc,0,-2,-2
l,nmw,hulka,kanti,0,-2,-2
chip,gg7,tc,d..p,0,-2,-2
l,nmw,chip,gg7,0,-2,-2
k27,morgneer,asterisk,berk,0,-2,-2
dolla bill bill,jc,connorasada,digg,0,-2,-2
griff the jiff,flashburn 117,k27,morgneer,0,-2,-2
emilywaves,lyric,maximo,mono,1,-2,-2
spyderj,viridian,sgt5,tuesday,0,-2,-2
dolla bill bill,jc,griff the jiff,flashburn 117,0,-2,-2
maximo,mono,spyderj,viridian,1,-2,-2
hulka,kanti,dolla bill bill,jc,0,-2,-2
tc,d..p,spyderj,viridian,0,-2,-2
hulka,kanti,tc,d..p,1,-2,-2
chip,gg7,tc,d..p,0,-2,-2
onion,metric,daifuku,upke,0,2,0
giraffe,klms,oc mike the franchise,envy,1,0,2
ansuke,samate,glint,perrilox,1,0,2
leaf,glee,dingus,webs,0,2,1
dj nintendo,the moon,onion,metric,0,2,0
goop,altf4,oc mike the franchise,envy,1,0,2
bob$,kelan,glint,perrilox,0,2,0
zeo,toastbread,leaf,glee,0,2,0
dj nintendo,the moon,oc mike the franchise,envy,0,2,0
bob$,kelan,zeo,toastbread,1,0,2
dj nintendo,the moon,zeo,toastbread,0,2,0
leaf,glee,daifuku,upke,0,2,0
glint,perrilox,giraffe,klms,0,2,0
goop,altf4,ansuke,samate,0,2,1
onion,metric,dingus,webs,0,2,0
leaf,glee,glint,perrilox,0,2,1
goop,altf4,onion,metric,1,0,2
oc mike the franchise,envy,leaf,glee,0,2,0
bob$,kelan,onion,metric,0,2,0
oc mike the franchise,envy,bob$,kelan,0,2,0
zeo,toastbread,oc mike the franchise,envy,0,-2,-2
parkachu0,drowninfish,asianson,cipher,1,0,2
henrius,fizix,d,brian,1,0,2
beigemush,urbanlime,god with a wavebird,ja-fraud,1,0,2
miles,gkinfinity,watchingtime,thecivilyoshi,1,0,2
darkatma,frootloop,asianson,cipher,0,2,0
paragon,jade,d,brian,1,0,2
captain crunch,uuaa,god with a wavebird,ja-fraud,0,2,0
drgn,delphiki,watchingtime,thecivilyoshi,0,2,0
darkatma,frootloop,d,brian,0,2,0
captain crunch,uuaa,drgn,delphiki,0,2,1
darkatma,frootloop,captain crunch,uuaa,0,2,0
watchingtime,thecivilyoshi,parkachu0,drowninfish,0,2,0
god with a wavebird,ja-fraud,henrius,fizix,0,2,0
paragon,jade,beigemush,urbanlime,1,0,2
asianson,cipher,miles,gkinfinity,0,2,0
watchingtime,thecivilyoshi,god with a wavebird,ja-fraud,1,0,2
beigemush,urbanlime,asianson,cipher,1,0,2
d,brian,god with a wavebird,ja-fraud,1,1,2
drgn,delphiki,asianson,cipher,0,2,0
god with a wavebird,ja-fraud,drgn,delphiki,0,2,0
captain crunch,uuaa,god with a wavebird,ja-fraud,0,-2,-2
dolphintv,fernyysanchez,arch,tittyboi,1,-2,-2
fridgebits,meh,goomy,double a battery,0,2,0
fridgebits,meh,kingofleaves,jzhao098,0,-2,-2
raish,bird jesus,xest,chango,0,2,0
raish,bird jesus,arch,tittyboi,0,2,0
lucky,reno,fridgebits,meh,0,2,0
lucky,reno,devastation,lock,0,2,0
lucky,reno,aza,pb&j,0,2,1
xest,chango,fridgebits,meh,1,-2,-2
captain smuckers,gar,fridgebits,meh,0,-2,-2
captain smuckers,gar,raish,bird jesus,0,2,0
captain smuckers,gar,aza,pb&j,1,-2,-2
devastation,lock,dolphintv,fernyysanchez,0,2,0
devastation,lock,captain smuckers,gar,0,-2,-2
devastation,lock,thrash,bajef,0,2,1
devastation,lock,chevaca,boamba,0,2,0
thrash,bajef,goomy,double a battery,0,2,0
thrash,bajef,kingofleaves,jzhao098,0,2,0
thrash,bajef,raish,bird jesus,0,2,0
aza,pb&j,devastation,lock,0,-2,-2
aza,pb&j,thrash,bajef,0,2,0
chevaca,boamba,xest,chango,1,0,2
chevaca,boamba,arch,tittyboi,0,2,1
superultradx,foodmanchew,atlus,psychomidget,1,0,2
bradendu,thatnastypasta,fitz,drew2king,1,0,2
evan,allpain,scape,joshuwasha,1,0,2
diamond,skelly,wanderew,cottoncandy,1,0,2
zbert,aeoluxar,nanacomehome,bees?,0,2,0
milkman,cyrain,atlus,psychomidget,0,2,0
fitz,drew2king,scape,joshuwasha,1,0,2
scar,lovage,wanderew,cottoncandy,0,2,0
bird,alien,zbert,aeoluxar,0,2,0
milkman,cyrain,scape,joshuwasha,0,2,0
scar,lovage,bird,alien,0,2,0
milkman,cyrain,scar,lovage,1,1,2
bradendu,thatnastypasta,evan,allpain,1,0,2
zbert,aeoluxar,superultradx,foodmanchew,0,2,0
wanderew,cottoncandy,evan,allpain,1,1,2
fitz,drew2king,diamond,skelly,0,2,0
atlus,psychomidget,nanacomehome,bees?,0,2,0
zbert,aeoluxar,evan,allpain,0,2,0
fitz,drew2king,atlus,psychomidget,1,0,2
scape,joshuwasha,zbert,aeoluxar,1,0,2
bird,alien,atlus,psychomidget,1,0,2
zbert,aeoluxar,atlus,psychomidget,1,0,2
milkman,cyrain,atlus,psychomidget,0,-2,-2
munch,madman,kevorkian,grrg,0,-2,-2
themickeynick,defiant,pretty cool guy,crispy,1,-2,-2
trebert,bdn,revengecrabs,ikd!,0,-2,-2
dzd,wphp,xnpio,dr. wa,0,-2,-2
alan,shroomed,munch,madman,0,-2,-2
danil,batterybird,pretty cool guy,crispy,1,-2,-2
luigigoshard,reeve,trebert,bdn,0,-2,-2
yoshi,eastcoastjeff,dzd,wphp,0,-2,-2
alan,shroomed,pretty cool guy,crispy,0,-2,-2
luigigoshard,reeve,yoshi,eastcoastjeff,1,-2,-2
alan,shroomed,yoshi,eastcoastjeff,0,-2,-2
dzd,wphp,kevorkian,grrg,0,-2,-2
trebert,bdn,themickeynick,defiant,0,-2,-2
danil,batterybird,revengecrabs,ikd!,0,-2,-2
munch,madman,xnpio,dr. wa,1,-2,-2
dzd,wphp,trebert,bdn,0,-2,-2
danil,batterybird,xnpio,dr. wa,1,-2,-2
pretty cool guy,crispy,dzd,wphp,1,-2,-2
luigigoshard,reeve,xnpio,dr. wa,0,-2,-2
dzd,wphp,luigigoshard,reeve,0,-2,-2
yoshi,eastcoastjeff,dzd,wphp,0,-2,-2
cryo,rust,bor,rusty shacklefurd,1,0,2
kebab,wonk,lk,jahanni,1,0,2
raven,,b,l,a,d,e,,prevalence,jisskhalifa,1,0,2
snoosnoo,baby bird,solo,ciao,0,2,0
ka-master,ciz,bor,rusty shacklefurd,0,2,0
fortefreak,yeeman,lk,jahanni,0,2,0
rofl,j666,prevalence,jisskhalifa,0,2,0
drewgong,boulevard,snoosnoo,baby bird,0,2,0
ka-master,ciz,fortefreak,yeeman,0,2,0
rofl,j666,drewgong,boulevard,0,2,0
ka-master,ciz,rofl,j666,0,2,0
snoosnoo,baby bird,cryo,rust,0,2,0
prevalence,jisskhalifa,kebab,wonk,0,2,0
lk,jahanni,raven,,b,l,a,d,e,,0,2,0
bor,rusty shacklefurd,solo,ciao,0,2,0
snoosnoo,baby bird,prevalence,jisskhalifa,0,2,0
lk,jahanni,bor,rusty shacklefurd,0,2,0
fortefreak,yeeman,snoosnoo,baby bird,0,2,1
drewgong,boulevard,lk,jahanni,1,1,2
fortefreak,yeeman,lk,jahanni,1,0,2
rofl,j666,lk,jahanni,0,-2,-2
kyrios,wetzel,rickpicks,trouts,1,0,2
scebbles,nathansandwich,segfault,aeiou,0,2,1
u guy,teo,charlie sheen,cudr,1,1,2
glenjamin,nsync,jacobyf,billz,1,0,2
westballz,gahtzu,rickpicks,trouts,0,2,0
phex,killahertz,scebbles,nathansandwich,0,2,0
ginger,beach,charlie sheen,cudr,0,2,0
ycz6,343,jacobyf,billz,0,2,0
westballz,gahtzu,phex,killahertz,0,2,0
ginger,beach,ycz6,343,0,2,0
westballz,gahtzu,ginger,beach,0,2,0
jacobyf,billz,kyrios,wetzel,0,2,0
charlie sheen,cudr,segfault,aeiou,1,0,2
scebbles,nathansandwich,u guy,teo,1,0,2
rickpicks,trouts,glenjamin,nsync,1,0,2
jacobyf,billz,segfault,aeiou,0,2,1
u guy,teo,glenjamin,nsync,0,2,0
phex,killahertz,jacobyf,billz,0,2,1
ycz6,343,u guy,teo,0,2,0
phex,killahertz,ycz6,343,1,0,2
ginger,beach,ycz6,343,0,-2,-2
jm,pastor,dad,wassup,1,0,2
the grime reaper,dana,bunk,stickers,0,2,0
bphan,jobes,big huge man,amoeba,0,2,0
c j,mr. kabuki,based matt,mhmm,0,2,1
j.p,cera,little shocker,941cs,0,2,0
mafia,swiftbass,dad,wassup,0,2,0
the grime reaper,dana,bphan,jobes,0,2,1
tai,medz,c j,mr. kabuki,0,2,0
nimzo,wavebringer,j.p,cera,0,2,1
mafia,swiftbass,the grime reaper,dana,0,2,0
tai,medz,nimzo,wavebringer,0,2,0
mafia,swiftbass,tai,medz,1,1,2
bunk,stickers,big huge man,amoeba,1,0,2
j.p,cera,jm,pastor,0,2,0
c j,mr. kabuki,big huge man,amoeba,0,2,0
bphan,jobes,based matt,mhmm,1,1,2
