T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
jules,petteh,slagnarok,meth,0,2,0
smo,bloodbowler,ryzon,fenrir,0,2,0
schlimmshady,jim,zuluking,kid anarkist,0,2,0
slhoka,cyr,blazza,ladz,0,2,0
ac_anon,socks,synaspe,soniike,1,0,2
baron brody,rechen,moby,10quidshoes,0,2,0
schlimmshady,jim,blazza,ladz,0,2,0
zuluking,kid anarkist,synaspe,soniike,1,0,2
slhoka,cyr,moby,10quidshoes,0,2,0
ac_anon,socks,baron brody,rechen,1,0,2
schlimmshady,jim,synaspe,soniike,0,2,0
blazza,ladz,moby,10quidshoes,0,2,0
zuluking,kid anarkist,baron brody,rechen,1,0,2
slhoka,cyr,ac_anon,socks,0,2,0
schlimmshady,jim,moby,10quidshoes,0,2,0
synaspe,soniike,baron brody,rechen,1,0,2
blazza,ladz,ac_anon,socks,1,0,2
zuluking,kid anarkist,slhoka,cyr,1,0,2
schlimmshady,jim,baron brody,rechen,0,2,0
moby,10quidshoes,ac_anon,socks,1,0,2
synaspe,soniike,slhoka,cyr,1,0,2
blazza,ladz,zuluking,kid anarkist,1,0,2
schlimmshady,jim,ac_anon,socks,0,2,0
baron brody,rechen,slhoka,cyr,1,1,2
moby,10quidshoes,zuluking,kid anarkist,1,0,2
synaspe,soniike,blazza,ladz,0,2,0
schlimmshady,jim,slhoka,cyr,0,2,0
ac_anon,socks,zuluking,kid anarkist,0,2,0
baron brody,rechen,blazza,ladz,0,2,0
moby,10quidshoes,synaspe,soniike,1,0,2
willy,deathgazer,chelly,annapower89,0,0,-1
clemens,ramon,mcbabe,pootrain,0,2,0
jam,jeffz0r,diabound,metal gear salad,0,2,0
xardov,gblade,stretch armstrong,unhaven,1,0,2
willy,deathgazer,mcbabe,pootrain,0,2,0
chelly,annapower89,diabound,metal gear salad,1,-1,0
clemens,ramon,stretch armstrong,unhaven,0,2,0
jam,jeffz0r,xardov,gblade,0,2,0
willy,deathgazer,diabound,metal gear salad,0,2,1
mcbabe,pootrain,stretch armstrong,unhaven,1,0,2
chelly,annapower89,xardov,gblade,1,-1,0
clemens,ramon,jam,jeffz0r,0,2,0
willy,deathgazer,stretch armstrong,unhaven,0,2,0
diabound,metal gear salad,xardov,gblade,0,2,1
mcbabe,pootrain,jam,jeffz0r,1,0,2
chelly,annapower89,clemens,ramon,1,-1,0
willy,deathgazer,xardov,gblade,0,2,0
stretch armstrong,unhaven,jam,jeffz0r,1,0,2
diabound,metal gear salad,clemens,ramon,1,0,2
mcbabe,pootrain,chelly,annapower89,0,0,-1
willy,deathgazer,jam,jeffz0r,0,2,0
xardov,gblade,clemens,ramon,1,0,2
stretch armstrong,unhaven,chelly,annapower89,0,0,-1
diabound,metal gear salad,mcbabe,pootrain,0,2,0
willy,deathgazer,clemens,ramon,1,0,2
jam,jeffz0r,chelly,annapower89,0,0,-1
xardov,gblade,mcbabe,pootrain,0,2,0
stretch armstrong,unhaven,diabound,metal gear salad,1,0,2
king funk,jjlinyard,okameed,soy,0,2,0
