T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
jkj,subtle,cdk,bladewise,0,2,1
doll,prison,jkj,subtle,0,-2,-2
spot,brick,pusheen queen,jbluray,0,2,1
flamingo,lyric,smashdaddy,om,1,0,2
reno,lucky,spot,brick,1,-1,0
stark,midgetto,nkfishing1,one_trickpony,1,0,2
baeblade,kpan,smashdaddy,om,0,2,0
sephyrate,mom!,pervy,gradymac,0,2,0
spot,brick,nkfishing1,one_trickpony,1,1,2
baeblade,kpan,sephyrate,mom!,0,2,0
nkfishing1,one_trickpony,baeblade,kpan,1,0,2
pervy,gradymac,pusheen queen,jbluray,1,0,2
stark,midgetto,flamingo,lyric,1,0,2
pusheen queen,jbluray,smashdaddy,om,1,0,2
flamingo,lyric,reno,lucky,0,0,-1
spot,brick,smashdaddy,om,1,0,2
sephyrate,mom!,flamingo,lyric,0,2,0
smashdaddy,om,sephyrate,mom!,0,2,0
nkfishing1,one_trickpony,smashdaddy,om,0,-2,-2
the moon,dj nintendo,cyrain,milkman,0,3,1
the moon,dj nintendo,psychomidget,kira,0,2,1
the moon,dj nintendo,chudat,chillindude,0,2,0
nkfishing1,one_trickpony,kaddy,upke,1,0,2
mang0,s2j,the moon,dj nintendo,0,2,0
mang0,s2j,ice,mew2king,0,2,0
mang0,s2j,ice,mew2king,1,2,3
smashg0d,llod,gahtzu,kjh,0,2,1
smashg0d,llod,chudat,chillindude,1,0,3
smashg0d,llod,axe,wobbles,0,2,0
cyrain,milkman,minty,darktooth,0,2,1
cyrain,milkman,baeblade,kpan,0,2,0
ice,mew2king,mang0,s2j,0,3,1
ice,mew2king,cyrain,milkman,0,2,0
ice,mew2king,chudat,chillindude,0,3,2
ice,mew2king,zain,sypherphoenix,0,2,0
sfat,pewpewu,mang0,s2j,1,1,3
sfat,pewpewu,smashg0d,llod,0,2,1
sfat,pewpewu,ice,mew2king,1,0,3
sfat,pewpewu,druggedfox,macd,0,3,1
druggedfox,macd,the moon,dj nintendo,0,-2,-2
druggedfox,macd,ice,mew2king,1,0,3
druggedfox,macd,colbol,dizzkidboogie,0,2,0
crush,$mike,sfat,pewpewu,1,0,2
crush,$mike,doh,nintendude,0,2,1
bmc,snacks!,slipnslide,mr fluffles,0,2,0
doll,prison,frogman [charette],jank,0,2,0
doll,prison,dansofree,tehpinkemobunni,0,2,1
gahtzu,kjh,bmc,snacks!,0,2,0
gahtzu,kjh,gurglehusk,dano,0,2,0
mr.ii,amsa,mang0,s2j,1,0,2
mr.ii,amsa,mafia,tafokints,1,0,2
doh,nintendude,wishh,roboticphish,0,2,0
psychomidget,kira,doll,prison,0,-2,-2
chudat,chillindude,mafia,tafokints,0,2,1
chudat,chillindude,junebug,aglet,0,2,1
westballz,shroomed,druggedfox,macd,1,0,2
westballz,shroomed,psychomidget,kira,0,2,0
westballz,shroomed,chudat,chillindude,1,1,2
mafia,tafokints,smashdaddy,om,0,2,0
axe,wobbles,minty,darktooth,1,1,2
metal reaper,copycat,silence,rare,0,2,0
equal,vortex,doh,nintendude,1,0,2
equal,vortex,47,42nd,0,2,0
minty,darktooth,crush,$mike,0,2,1
minty,darktooth,mucho,rooster,0,2,0
minty,darktooth,dab,salty seth,0,2,0
atomsk,theswooper,mafia,tafokints,1,1,2
atomsk,theswooper,wild,kurt kobain,0,2,0
zain,sypherphoenix,gahtzu,kjh,1,1,2
kaddy,upke,kaeon,vino,1,0,2
kaeon,vino,kit,lemon water,0,2,0
dab,salty seth,mrbenready,jwilli,0,2,0
junebug,aglet,jkj,subtle,0,2,0
pgh carroll,abate,gahtzu,kjh,1,0,2
pgh carroll,abate,metal reaper,copycat,0,2,0
pgh carroll,abate,ambiguously polish,badmdvafox829,0,2,0
baeblade,kpan,pgh carroll,abate,1,1,2
pb&j,stango,pig,poonslayer7,0,2,1
pb&j,stango,junebug,aglet,1,0,2
colbol,dizzkidboogie,psychomidget,kira,1,1,2
colbol,dizzkidboogie,kaeon,vino,0,2,0
dansofree,tehpinkemobunni,brianydg,arcadia,0,2,0
