T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
it's cha boi,dino,amishcatfish,bez,0,2,0
armada,android,thomdore,kenz,0,2,0
harald,sverre,amishcatfish,bez,0,2,0
alpha dash,unreal,it's cha boi,dino,0,2,0
armada,android,radio,sprak,0,2,0
thomdore,kenz,amishcatfish,bez,0,2,0
harald,sverre,alpha dash,unreal,0,2,0
armada,android,amishcatfish,bez,0,2,0
radio,sprak,it's cha boi,dino,1,1,2
thomdore,kenz,alpha dash,unreal,1,0,2
armada,android,it's cha boi,dino,0,2,0
amishcatfish,bez,alpha dash,unreal,1,0,2
radio,sprak,harald,sverre,1,0,2
armada,android,alpha dash,unreal,0,2,0
it's cha boi,dino,harald,sverre,1,0,2
radio,sprak,thomdore,kenz,1,0,2
armada,android,harald,sverre,0,2,0
it's cha boi,dino,thomdore,kenz,1,0,2
amishcatfish,bez,radio,sprak,1,0,2
@adamayonmike,zgetto,peanutz996,fredricoswe,0,2,0
daydee,pricent,brail_l2k,mrtom,0,2,1
volvo,yabasta,petteh,senn,0,2,1
yalungur,dragos,dazy,tophatpat,0,2,0
@adamayonmike,zgetto,brail_l2k,mrtom,0,2,0
peanutz996,fredricoswe,petteh,senn,1,1,2
daydee,pricent,dazy,tophatpat,0,2,0
volvo,yabasta,yalungur,dragos,0,2,0
@adamayonmike,zgetto,petteh,senn,0,2,0
brail_l2k,mrtom,dazy,tophatpat,1,0,2
peanutz996,fredricoswe,yalungur,dragos,1,0,2
daydee,pricent,volvo,yabasta,0,2,1
@adamayonmike,zgetto,dazy,tophatpat,0,2,0
petteh,senn,yalungur,dragos,1,0,2
brail_l2k,mrtom,volvo,yabasta,0,2,1
peanutz996,fredricoswe,daydee,pricent,1,0,2
@adamayonmike,zgetto,yalungur,dragos,0,2,0
dazy,tophatpat,volvo,yabasta,1,0,2
petteh,senn,daydee,pricent,1,0,2
brail_l2k,mrtom,peanutz996,fredricoswe,0,2,0
@adamayonmike,zgetto,volvo,yabasta,0,2,0
yalungur,dragos,daydee,pricent,1,0,2
dazy,tophatpat,peanutz996,fredricoswe,0,2,1
petteh,senn,brail_l2k,mrtom,1,0,2
@adamayonmike,zgetto,daydee,pricent,0,2,0
volvo,yabasta,peanutz996,fredricoswe,0,2,0
yalungur,dragos,brail_l2k,mrtom,0,2,1
dazy,tophatpat,petteh,senn,0,2,1
r23,jam,darentei,helio,0,2,0
sebovich,k1kk0m4n,dragmire jr,theredsock,0,2,0
timemuffinphd,shiftingshadows,impx,adamkex,0,2,0
zoler,random-ness,darentei,helio,0,2,0
r23,jam,impx,adamkex,0,2,0
sebovich,k1kk0m4n,timemuffinphd,shiftingshadows,1,0,2
zoler,random-ness,dragmire jr,theredsock,0,2,0
darentei,helio,impx,adamkex,1,0,2
r23,jam,sebovich,k1kk0m4n,0,2,0
zoler,random-ness,impx,adamkex,0,2,0
dragmire jr,theredsock,timemuffinphd,shiftingshadows,1,0,2
darentei,helio,sebovich,k1kk0m4n,1,0,2
zoler,random-ness,timemuffinphd,shiftingshadows,0,2,1
impx,adamkex,sebovich,k1kk0m4n,1,1,2
dragmire jr,theredsock,r23,jam,1,0,2
zoler,random-ness,sebovich,k1kk0m4n,0,2,0
timemuffinphd,shiftingshadows,r23,jam,1,0,2
dragmire jr,theredsock,darentei,helio,1,0,2
zoler,random-ness,r23,jam,1,1,2
timemuffinphd,shiftingshadows,darentei,helio,0,2,0
impx,adamkex,dragmire jr,theredsock,0,2,0
reaper,blaze,lorenzo,mr. toothbrush,0,2,0
q,beat,icahandlarn,pyntarn,0,2,0
haotwo,calzum,laration,hasme,0,2,0
jekku,zlazher,flab,gin,0,0,-1
reaper,blaze,icahandlarn,pyntarn,0,2,0
lorenzo,mr. toothbrush,laration,hasme,1,1,2
q,beat,flab,gin,0,2,0
haotwo,calzum,jekku,zlazher,0,2,0
reaper,blaze,laration,hasme,0,2,0
icahandlarn,pyntarn,flab,gin,0,0,-1
lorenzo,mr. toothbrush,jekku,zlazher,1,0,2
q,beat,haotwo,calzum,0,2,0
reaper,blaze,flab,gin,0,2,0
laration,hasme,jekku,zlazher,1,1,2
icahandlarn,pyntarn,haotwo,calzum,1,0,2
lorenzo,mr. toothbrush,q,beat,1,0,2
reaper,blaze,jekku,zlazher,0,2,0
flab,gin,haotwo,calzum,1,0,2
laration,hasme,q,beat,1,0,2
icahandlarn,pyntarn,lorenzo,mr. toothbrush,0,2,1
reaper,blaze,haotwo,calzum,0,2,0
jekku,zlazher,q,beat,1,0,2
flab,gin,lorenzo,mr. toothbrush,1,-1,0
laration,hasme,icahandlarn,pyntarn,1,0,2
reaper,blaze,q,beat,0,2,1
haotwo,calzum,lorenzo,mr. toothbrush,0,2,0
jekku,zlazher,icahandlarn,pyntarn,0,2,1
flab,gin,laration,hasme,1,-1,0
lolex,glaz,mums,zíng,0,2,0
lolex,glaz,mo,layabout,1,1,2
husbrann,ebd,lolex,glaz,1,0,2
husbrann,ebd,mo,layabout,1,0,2
mums,zíng,husbrann,ebd,0,2,0
mums,zíng,kexmannen,leering,0,2,0
