p1,p2,finalPlacement
dolphintv,fernyysanchez,385
azianraven,jrad,97
duke tresnor,picasso,385
rad,nav,193
ka-master,ciz,33
arch,tittyboi,257
kira,cdk,25
ajizl,jams,257
exumer,quasar,129
nhat,ralph,49
devastation,lock,65
engdrew,datsun,129
kevin,ezvip,129
azen zagenite,chillindude,17
khale,ted,257
asianson,cipher,129
nnn,roll,257
imnotgood,zopher,193
mova,turnt_up,193
u guy,teo,129
clubhs,game,257
onion,metric,129
bphan,jobes,257
leaf,glee,129
stevedode,darkclops,385
bude,milk,257
carcosa,true dong,97
phex,killahertz,97
zeldafreak,shinobi,49
liam_butler,astropancakes,257
trashboat,dabes,257
charlie sheen,cudr,257
based matt,mhmm,129
gerryog,kimmy,257
turnip4what?,xhyrri,129
daicko,syko,129
p.body,neeco,97
nipunn,vomjom,97
maps,atari,257
raven,,b,l,a,d,e,,257
calvin,elliot,257
chip,gg7,65
bliutwo,feynman,257
captain crunch,uuaa,33
paragon,jade,257
mom's   spaghetti,torch,257
maverick,easton,129
lanceinthepants,bertbusdriver,257
fridgebits,meh,129
the pretzel pimp,the cold vein,385
wasabi,jawanga,129
tr0y,wonder,129
thrash,bajef,129
conair,no blanket,257
n0ne,alex19,13
sexy,grizzlybair,193
jr1501,guavajuice,257
nimzo,wavebringer,65
wooptywop,elcancell,129
goonknight,mattymoo,257
zanguzen,jflex,33
evan,allpain,193
bluefalcon,bag of beetles,193
ham,jet,257
kalamazhu,prince abu,9
atlus,psychomidget,33
sir,decoste in the shell,193
jacobyf,billz,129
charlezard,unagi,257
birdshit,saydon,257
corimon,zomb,385
rickpicks,trouts,257
bean,lyme,129
raxcity,kswz,257
mahie,tekk,97
tuck dynasty,drug money,129
m00nshoez,plup,25
spyderj,viridian,129
darkatma,frootloop,5
didact25,braev,129
fendricklamar,sweet,193
vino,future,129
sherigami,webwipe,49
julian,w33dl0rd840,65
dzd,wphp,65
drephen,captain faceroll,33
noremac,smokey meat sweats bbq,129
taj,wobbles,25
swedish delight,slox,3
ragingcherry,azzy,193
czar,hiv+,257
koopatroopa895,imyt,49
veklor,amae,193
son2,kmac,65
a rookie,soju,65
ezpz,astealthykorean,257
ebay,vinodh,65
stoopdapoop,ckx,257
fish,bensw,257
laudandus,squid,129
mafia,swiftbass,65
g$,dizzkidboogie,25
tc,d..p,25
wyne,tonic,129
money,yng$falcon,257
stayqrispy,corleone,129
janet,chi,193
c j,mr. kabuki,193
bojo,toastkitten,257
kjh,duck,9
little shocker,941cs,193
minty,fitz,65
c4d,megaman,257
scape,joshuwasha,129
treble,banjo,257
prevalence,jisskhalifa,193
deadstorm,tafy,257
replicate,frotaz,385
davis,musgraves,129
edwin...,generic,257
bigwenz,ctl,65
toph,silent wolf,33
bangboy2000,nerf r nuthin,257
etmiv,weis,129
huggermugger,matticus,193
thegtree,dhir,193
connorasada,digg,257
kebab,wonk,257
trebert,bdn,193
akared,wonderbean,257
ice,overtriforce,257
superultradx,foodmanchew,257
batistay,yam$,97
danil,batterybird,193
nanz,mortfeld,129
druggedfox,baka4moe,7
t-town,spades,257
nikabod,salvadoc,65
beigemush,urbanlime,193
surfero,darelis,129
plr0,luc448,193
ooze,theargentinegreek,257
theprime,apples,193
kyrios,wetzel,257
zeo,toastbread,49
panic,winslo,193
sgt5,tuesday,257
ken,santiago,17
myztek,ippo,97
flashboy,roukiske,129
luigigoshard,reeve,97
coleslaw,the grouch,257
hop,paper tiger,257
frozenspade,kitsune,193
antic,contra,97
pwrup!,dempsey,193
nanacomehome,bees?,257
twin,javi,7
void,tid,193
drewgong,boulevard,129
kokichi,scav,193
pretty cool guy,crispy,129
gangly,papapaint,257
housewife,4%,33
wizzrobe,colbol,9
smurf,daftzeppelin,257
hulka,kanti,97
kestrel,guluheend,97
andymosity,strain,97
pewpewu,sfat,2
juggleguy,tm,65
revengecrabs,ikd!,257
yardsale,tags,129
tirno,mikkuz,193
m.kat,shnarples,257
aether,roid,193
miles,gkinfinity,257
choknater,spark,49
l,nmw,13
stuner323,hurricane rising,257
corgi gucci wolf,erik,97
biscuittricks,syd,193
jm,pastor,257
patrick,burnt out ninja,129
dolla bill bill,jc,129
zemcitrus,kevbot,49
redd,tafokints,33
axe,hungrybox,4
brick,ratking,97
d,brian,129
low5,dz,257
fitz,drew2king,193
atrioc,argonaut1,193
lada,x,97
deskpop,chetter,257
magicalhatsdx,raves,257
jordova,lady c,257
floppy,jwolf,193
zbert,aeoluxar,97
silentspectre,tang,17
dr. girlfriend,snowdrops,257
mooninite,dr. grin,65
pikminbutdeadly,irish,97
j.p,cera,129
segfault,aeiou,193
henrius,fizix,257
nishi,shaw,257
alan,shroomed,5
drewzey,dew,129
giraffe,klms,257
vortex,equal,33
ironblock,zelus,257
jake peskin,mchi,257
mertoxiac,guacho,257
renegade hexer,sapphire,257
trippy,viper,385
violence,bo0gyman,65
wanderew,cottoncandy,257
j,mentaculus,97
drgn,delphiki,97
kidney,dethasarus rex,257
rage,savior,257
tai,medz,25
austintacious,kpan,97
lucky,reno,9
themickeynick,defiant,257
ryan ford,kirbykaze,25
kevorkian,grrg,257
xest,chango,193
xell,tranmobile,129
westballz,gahtzu,17
aza,pb&j,49
diamond,skelly,257
yista,tblades,257
connoreno,pimp jong illest,193
cactuar,zhu,17
fluid,butt zone,97
big ben,colin,193
justin,icer,129
ricedude,neverlucky,193
shady pyro,kwaniza,257
jeezimsobored,yeroc,257
yamaneko,arcadia,65
balloon,keithrep,49
dj nintendo,the moon,13
oc mike the franchise,envy,65
judge,me,257
dmw,halestorm,129
solo,ciao,257
smoom,stitch,193
mrbitter,voice,257
moose,brtarolg,49
goop,altf4,193
scebbles,nathansandwich,257
jbvh,jim jam flim flam,193
mlk$,toiya,193
fira n ice,c_rez,257
yung dactyl,sir illiam,97
tolerablezero,manny,193
wasian,dot,193
sonachan,taiko,257
hi,merc,257
bor,rusty shacklefurd,193
fortefreak,yeeman,97
emilywaves,lyric,257
ccdm,starelf,129
tlo,habilecho,193
emodinosaur,repfigit,65
captain smuckers,gar,97
arm & hammer,dime,193
jay,zeta,257
cryo,rust,257
aperture,kevino,257
dad,wassup,257
k•maru,uncle onion,257
tilt,kramepie,129
manatee,peligro,33
drstyles,itsmadness,129
ync,law,129
dingus,webs,257
dilla,mojoe,193
glint,perrilox,193
xnpio,dr. wa,129
bunk,stickers,385
rêve,sjw,257
thx,rih,97
baise,diplomatictucan,97
smackledorf007,og asi,257
sk92,eval,33
seshy,siren,129
mango,s2j,129
rattigan,triple r,257
daifuku,upke,257
albinosaurus,cab,257
sampai,rick rosser,257
bradendu,thatnastypasta,385
asterisk,berk,385
timbo,spoons,257
scar,lovage,25
god with a wavebird,ja-fraud,65
wine,zap101,257
zoap,snap,65
bladewise,nintendude,33
ghidorah,kanye rest,129
maximo,mono,193
