P1, P2, set winner
kang,dark wizzy,0
pratmire,mr.h,1
sharrrk,kang,1
lord sturm,mr.h,0
kang,lord sturm,1
tonysherbert,lord sturm,0
moosen,yuruloki,0
pain,chexx,1
anthonyatoyk,osubrandon,0
prime,ponj,1
clifton,nobigdeal,1
ri-ma,moosen,0
chexx,anthonyatoyk,0
mav,ponj,0
shadow,nobigdeal,0
ri-ma,chexx,0
mav,shadow,1
ri-ma,shadow,0
pain,osubrandon,0
nobigdeal,yuruloki,0
ponj,pain,1
anthonyatoyk,prime,1
moosen,clifton,0
nobigdeal,pain,0
prime,moosen,1
chexx,nobigdeal,0
mav,moosen,0
chexx,mav,1
shadow,mav,0
bigtuna,chromidorr,1
bigtuna,rabbitsoftenerx,1
chromidorr,tensin,0
chromidorr,plokmok,1
masonicle,scrub,0
masonicle,delicateduck,0
junji,tensin,0
kogarasuma,junji,0
kogarasuma,plokmok,0
kogarasuma,fromundaman,0
plokmok,junji,0
plokmok,delicateduck,0
plokmok,fromundaman,1
plokmok,fromundaman,0
rich brown,chromidorr,0
rich brown,masonicle,0
rich brown,kogarasuma,0
rabbitsoftenerx,masonicle,0
rabbitsoftenerx,junji,1
fromundaman,scrub,0
fromundaman,rabbitsoftenerx,0
vidya_james,pikajak3,1
doeboy,lan,0
mrchubbsmcgee,coloratura,1
r2,zsspence,1
ryuga,pikajak3,0
riyoxas,doeboy,1
acestarthe3rd,coloratura,0
nova!,zsspence,0
ryuga,doeboy,0
acestarthe3rd,nova!,0
ryuga,acestarthe3rd,0
zsspence,vidya_james,0
coloratura,lan,0
riyoxas,mrchubbsmcgee,0
pikajak3,r2,0
zsspence,coloratura,1
riyoxas,pikajak3,0
doeboy,coloratura,0
nova!,riyoxas,0
doeboy,nova!,0
acestarthe3rd,doeboy,0
les,merrick,1
wellequippedhobo,w1sh,0
kups,sakuto,1
jeffy,b-dawg,0
marss,merrick,0
error,wellequippedhobo,0
nom,sakuto,0
raynoire,jeffy,0
marss,error,0
nom,raynoire,0
marss,nom,0
jeffy,les,1
sakuto,w1sh,0
wellequippedhobo,kups,0
merrick,b-dawg,0
les,sakuto,1
wellequippedhobo,merrick,1
error,sakuto,1
raynoire,merrick,0
sakuto,raynoire,1
nom,raynoire,0
lordtoko,falchionpunch,0
daga,- glish -,1
earlofm,xato,0
shimmer,bolt,0
