name,finalPlacement
rubio,257
radam,385
tantalus,97
rickpicks,385
ojama,257
yamz,257
skitt,257
risu,385
buzzbuzz,257
munster,129
dare,129
pewpewu,129
amsa,65
proto,257
ra,193
gunfighterjl,257
plup,129
ss,17
toast,193
erics,257
charlie harper,385
stylesx2,97
arbaruhin,385
okay,385
pudd,97
brawlguy,129
dhblademaster,193
| vp,129
mav,97
mikamora,257
bloss,129
sharky,193
dunnobro,129
tico,65
c-iv,385
brasta,97
rooster,257
raptor,17
craftis,33
hangman,385
bean,193
mayt,257
daddy rain,385
greg,257
guts?,257
senpai,257
mr. escalator,385
stadic777,193
milesarmsprower,257
hachiman,257
mvd,17
izuna,257
fiercetaint,129
scuba steve,385
dole,257
