P1,P2,set winner,P1Score,P2Score
scorpio kiddo,shing,1,0,2
jebu,awesomebee,0,2,0
nintendork,shing,1,1,2
ace,scorpio kiddo,0,2,0
jebu,shing,0,2,0
awesomebee,scorpio kiddo,0,2,0
nintendork,ace,0,2,0
muru,blu,0,2,0
jenzo,m1,0,2,0
bollefar,blu,0,2,0
muru,jenzo,0,2,0
bollefar,m1,0,2,1
blu,jenzo,1,0,2
bollefar,jenzo,1,0,2
m1,muru,1,0,2
bollefar,muru,0,2,1
m1,blu,0,2,0
lentross,robiin,0,2,1
i lift,hammern,0,2,0
mumfy,kekkeri,0,2,0
lentross,hammern,0,0,-1
robiin,kekkeri,1,0,2
i lift,mumfy,0,2,0
lentross,kekkeri,0,2,1
hammern,mumfy,1,0,2
robiin,i lift,0,2,0
lentross,mumfy,1,1,2
kekkeri,i lift,1,0,2
hammern,robiin,1,1,2
lentross,i lift,0,2,0
mumfy,robiin,1,1,2
kekkeri,hammern,0,2,0
zartzu,torogami,0,2,0
legic,g-sen,0,2,0
son gohan,taiki,0,2,0
zartzu,g-sen,0,2,0
torogami,taiki,1,0,2
legic,son gohan,0,2,0
zartzu,taiki,0,2,0
g-sen,son gohan,1,0,2
torogami,legic,1,0,2
zartzu,son gohan,0,2,0
taiki,legic,1,0,2
g-sen,torogami,0,2,0
zartzu,legic,1,1,2
son gohan,torogami,0,2,0
taiki,g-sen,0,2,0
ulf,devilgamer,0,2,0
philern,theredmage,0,2,0
gardex,devilgamer,0,2,0
ulf,philern,0,2,0
gardex,theredmage,0,2,1
devilgamer,philern,1,1,2
gardex,philern,0,2,0
theredmage,ulf,1,1,2
gardex,ulf,0,2,0
theredmage,devilgamer,0,2,0
willz,spikeuvm,0,2,0
gray,sjaleks,0,2,0
queen,libeck,1,1,2
willz,sjaleks,0,2,0
spikeuvm,libeck,1,0,2
gray,queen,1,1,2
willz,libeck,0,2,1
sjaleks,queen,1,0,2
spikeuvm,gray,1,0,2
willz,queen,0,2,0
libeck,gray,1,1,2
sjaleks,spikeuvm,0,2,1
willz,gray,0,2,0
queen,spikeuvm,0,2,0
libeck,sjaleks,0,2,0
chard,nemui,0,2,0
lufos,lort,0,2,0
drolo,hal,0,2,0
chard,lort,0,2,0
nemui,hal,1,1,2
lufos,drolo,0,2,0
chard,hal,0,2,0
lort,drolo,1,0,2
nemui,lufos,1,0,2
chard,drolo,0,2,0
hal,lufos,1,0,2
lort,nemui,1,0,2
chard,lufos,1,1,2
drolo,nemui,0,2,0
hal,lort,1,0,2
shido,erafloaty,0,2,0
warheart,veghard,0,2,0
urg,emperor,0,2,0
shido,veghard,0,2,0
erafloaty,emperor,1,-1,0
warheart,urg,0,2,0
shido,emperor,0,2,0
veghard,urg,0,2,1
erafloaty,warheart,1,0,2
shido,urg,0,2,0
emperor,warheart,1,0,2
veghard,erafloaty,0,2,0
shido,warheart,0,2,0
urg,erafloaty,0,0,-1
emperor,veghard,1,0,2
ham,rullekake,0,2,0
kafka,taka,1,0,2
zht,rullekake,0,2,0
ham,kafka,0,2,0
zht,taka,0,2,0
rullekake,kafka,1,0,2
zht,kafka,0,2,0
taka,ham,0,2,1
zht,ham,0,2,1
taka,rullekake,0,2,0
bryggiz,zayko,0,2,0
tag,athic blaze,0,2,0
rastabru,bamboocarpet,0,2,0
bryggiz,athic blaze,0,2,0
zayko,bamboocarpet,1,0,2
tag,rastabru,0,2,0
bryggiz,bamboocarpet,0,2,0
athic blaze,rastabru,1,0,2
zayko,tag,1,0,2
bryggiz,rastabru,1,1,2
bamboocarpet,tag,1,0,2
athic blaze,zayko,0,2,0
bryggiz,tag,1,0,2
rastabru,zayko,0,2,0
bamboocarpet,athic blaze,0,2,0
biscuit,notoriouslanser,0,2,0
corgi lord,potato head,0,2,0
boombucket,milki,0,2,0
biscuit,potato head,0,2,0
notoriouslanser,milki,0,2,1
corgi lord,boombucket,0,2,0
biscuit,milki,0,2,0
potato head,boombucket,1,0,2
notoriouslanser,corgi lord,1,0,2
biscuit,boombucket,0,2,0
milki,corgi lord,1,0,2
potato head,notoriouslanser,0,2,0
biscuit,corgi lord,0,2,1
boombucket,notoriouslanser,0,2,0
milki,potato head,0,2,0
theepicpirate,wulf,0,2,0
endeby,born 2 sd,0,2,0
gerdef,gongong,0,2,1
theepicpirate,born 2 sd,0,2,0
wulf,gongong,1,0,2
endeby,gerdef,0,2,0
theepicpirate,gongong,0,2,0
born 2 sd,gerdef,1,0,2
wulf,endeby,1,0,2
theepicpirate,gerdef,0,2,0
gongong,endeby,1,0,2
born 2 sd,wulf,0,2,0
theepicpirate,endeby,0,2,0
gerdef,wulf,0,2,0
