P1, P2, set winner
quigs / turtle,godzillaking / noldorian,1
steve / unit456,rudolph / kounotori,0
dable / r-1,ppsd / yankee,1
the ram / bj,jkj / jank,1
godzillaking / noldorian,nintnt / dope,1
steve / unit456,crispy t. / the oiler,1
xyk / seraph,ppsd / yankee,0
sizzle / dysfunkti0nal,jkj / jank,1
dono42 / thehazman00,nintnt / dope,1
seaghost / vincessant,crispy t. / the oiler,0
xyk / seraph,jkj / jank,1
nintnt / dope,seaghost / vincessant,0
captain faceroll / mchi,jkj / jank,0
salty seth / iceman,nintnt / dope,0
captain faceroll / mchi,salty seth / iceman,0
esam / kage,captain faceroll / mchi,0
jembosa / shum,ryko / ):,1
danil / mr_sweet,burgerdon / the lil d that could,1
jesus / dirt,lildoozie / un0,0
bhox / rose,turnup_xd / turkish delight,0
frootloop / darkatma,ryko / ):,0
supermrjmt / soul,dj red lantern / el jefe,1
monib / coffeeblack,burgerdon / the lil d that could,0
drybones / ezreal,hibbityhoopla / mrdr,0
drephen / kels,jesus / dirt,0
iifter / slowking,coffeemug / ders,0
griffith / captain smuckers,bhox / rose,0
log / orana,biff$$$$ / suidt,1
frootloop / darkatma,dj red lantern / el jefe,0
monib / coffeeblack,drybones / ezreal,0
drephen / kels,iifter / slowking,0
griffith / captain smuckers,biff$$$$ / suidt,0
frootloop / darkatma,monib / coffeeblack,1
drephen / kels,griffith / captain smuckers,0
monib / coffeeblack,drephen / kels,1
drephen / kels,frootloop / darkatma,0
log / orana,jembosa / shum,0
coffeemug / ders,danil / mr_sweet,1
hibbityhoopla / mrdr,lildoozie / un0,1
supermrjmt / soul,turnup_xd / turkish delight,1
log / orana,bhox / rose,1
danil / mr_sweet,jesus / dirt,0
lildoozie / un0,burgerdon / the lil d that could,1
turnup_xd / turkish delight,ryko / ):,0
drybones / ezreal,bhox / rose,1
dj red lantern / el jefe,danil / mr_sweet,1
biff$$$$ / suidt,burgerdon / the lil d that could,1
iifter / slowking,turnup_xd / turkish delight,0
bhox / rose,danil / mr_sweet,0
burgerdon / the lil d that could,iifter / slowking,1
griffith / captain smuckers,bhox / rose,0
frootloop / darkatma,iifter / slowking,0
griffith / captain smuckers,frootloop / darkatma,1
monib / coffeeblack,frootloop / darkatma,1
team nick / village mascot,stevie b / tsundere,0
sneddy / yomi,poopiepete420 / quantum_x,0
reign / smlzgood,duck chris / rumble,1
shadowzw / i am an owl,kanye rest / roboticphish,1
lance vance / mrhappy,ibc / xurk,1
sfat / pewpewu,team nick / village mascot,0
patrick / seabass,poskii / mf mike,0
pyro / remix,sneddy / yomi,0
patcake / kittymw,duck chris / rumble,1
fuzzyness / brtarolg,kanye rest / roboticphish,0
dirty mike / $pud,little bucket / shanondorf,0
zain / sypherphoenix,ibc / xurk,0
w1sh / ez$,crip / honeybaked,1
sfat / pewpewu,patrick / seabass,0
pyro / remix,duck chris / rumble,0
fuzzyness / brtarolg,dirty mike / $pud,0
zain / sypherphoenix,crip / honeybaked,0
sfat / pewpewu,pyro / remix,0
fuzzyness / brtarolg,zain / sypherphoenix,1
sfat / pewpewu,zain / sypherphoenix,0
sfat / pewpewu,fuzzyness / brtarolg,0
w1sh / ez$,stevie b / tsundere,1
little bucket / shanondorf,poopiepete420 / quantum_x,1
kanye rest / roboticphish,reign / smlzgood,0
patcake / kittymw,shadowzw / i am an owl,1
poskii / mf mike,lance vance / mrhappy,0
stevie b / tsundere,ibc / xurk,1
poopiepete420 / quantum_x,kanye rest / roboticphish,1
