P1,P2,set winner,P1Score,P2Score
ghettotastic,nokes,1,0,2
nerf r nuthin,conix,1,0,2
squid,logos,0,2,0
enterthekiwi,cryo,1,0,2
poobanans,argonaut1,0,2,0
nokes,conix,0,2,0
squid,cryo,0,2,0
poobanans,nokes,0,2,0
squid,poobanans,0,2,0
/b/l/a/d/e/,songbird,1,0,2
ghettotastic,nerf r nuthin,0,2,0
conix,tome,0,2,1
argonaut1,songbird,0,2,1
enterthekiwi,amrit,0,0,-1
logos,ghettotastic,1,1,2
conix,argonaut1,0,2,1
enterthekiwi,ghettotastic,1,0,2
cryo,conix,1,1,2
nokes,ghettotastic,0,2,1
conix,nokes,1,0,2
poobanans,nokes,0,-2,-2
bude,cola,0,2,0
loring,kevbot,1,0,2
big d,krc_dub,0,2,0
whatisfear,rovl,0,2,0
slade,jm,0,2,1
milkman,bude,0,2,0
kevbot,big d,0,2,1
yamaneko,whatisfear,0,2,1
dre peng,slade,0,2,0
milkman,kevbot,0,2,0
yamaneko,dre peng,0,2,0
milkman,yamaneko,0,2,0
loring,krc_dub,0,2,1
slade,cola,1,0,2
whatisfear,loring,0,2,0
big d,rovl,0,2,0
bude,jm,0,2,1
cola,whatisfear,1,0,2
big d,bude,0,2,0
kevbot,whatisfear,0,2,1
dre peng,big d,1,0,2
kevbot,big d,0,2,1
yamaneko,kevbot,0,-2,-2
goblin,crispy,1,0,2
slash,rage,0,2,0
thatoneperuvian,batterybird,1,0,2
woogieboogie,bunk,0,2,0
thad,anathema,1,-1,0
iamcreditcard,mr yaah,0,0,-1
w33dl0rd840,crispy,0,2,1
slash,batterybird,1,0,2
ru$$,woogieboogie,0,-2,-2
anathema,iamcreditcard,1,0,2
w33dl0rd840,batterybird,0,2,0
ru$$,iamcreditcard,0,-2,-2
w33dl0rd840,ru$$,1,-2,-2
rage,thatoneperuvian,1,0,2
thad,mr yaah,1,-1,0
anathema,goblin,0,2,1
woogieboogie,thatoneperuvian,0,-2,-2
slash,bunk,0,2,0
crispy,mr yaah,0,0,-1
anathema,woogieboogie,0,2,1
slash,crispy,1,0,2
batterybird,anathema,0,-2,-2
iamcreditcard,crispy,1,-2,-2
batterybird,crispy,0,2,0
w33dl0rd840,batterybird,0,-2,-2
lostluggage256,ausuri,1,-2,-2
smyd,judge,1,-2,-2
big d squirrels,c0xx,0,-2,-2
charlezard,brontë,0,-2,-2
schwiebs,hommsar,1,-2,-2
trig,wetzel,0,-2,-2
eval,ausuri,0,-2,-2
judge,big d squirrels,0,-2,-2
neeco,charlezard,0,-2,-2
hommsar,trig,0,-2,-2
eval,judge,0,-2,-2
neeco,hommsar,0,-2,-2
