P1,P2,set winner,P1Score,P2Score
prince abu,josesanmansquito,0,2,0
arby,jim jam flim flam,0,2,0
shinobi,greenmario,0,2,0
schythed,jcpwn,0,2,0
prince abu,arby,0,2,0
shinobi,schythed,0,2,0
prince abu,shinobi,0,2,1
whims,$wank,1,0,2
freeman,yogi,1,0,2
$wank,sirencresselia,0,2,0
unoriginal,bees?,1,1,2
yogi,cortez,0,2,0
pythagoras,baeblade,1,0,2
jim jam flim flam,$wank,0,2,0
josesanmansquito,bees?,1,0,2
jcpwn,yogi,0,2,0
greenmario,baeblade,0,2,1
jim jam flim flam,bees?,0,2,0
jcpwn,greenmario,1,1,2
schythed,jim jam flim flam,0,2,0
arby,greenmario,1,0,2
schythed,greenmario,0,2,1
shinobi,schythed,0,-2,-2
sunwalker,wolven,1,0,2
wsp,garrettxvx,0,0,-1
darkatma,wolven,0,2,0
dinowulf,miwa,1,-1,0
2krunkvillain,danbo,0,2,0
up-besus,pawn,1,-1,0
flamin roy,wsp,0,2,0
[the fox army],oko,1,0,2
tron,nastynard,0,2,0
tieske,dan,0,2,0
darkatma,miwa,0,2,0
2krunkvillain,pawn,0,2,0
flamin roy,oko,0,2,0
tron,tieske,0,2,0
darkatma,2krunkvillain,0,2,1
flamin roy,tron,0,2,0
darkatma,flamin roy,0,2,0
dan,sunwalker,0,2,0
up-besus,garrettxvx,1,-1,0
dan,nastynard,1,0,2
[the fox army],wsp,1,1,2
garrettxvx,danbo,1,-1,0
dinowulf,wolven,1,-1,0
pawn,nastynard,1,0,2
miwa,wsp,0,2,1
tieske,danbo,0,2,0
oko,wolven,1,0,2
nastynard,miwa,0,2,0
tieske,wolven,1,0,2
tron,nastynard,0,2,0
2krunkvillain,wolven,0,2,0
tron,2krunkvillain,0,2,0
flamin roy,tron,0,-2,-2
signd0g,mysterion,0,2,0
jays on my feet jordan,ben kenobi,0,2,0
drephen,signd0g,0,2,0
kman,tiger,1,-1,0
amida,pk don,0,2,0
nuggets,vaguba,0,2,0
rik,jays on my feet jordan,0,2,0
wes,rob gambino,1,0,2
metroid,brokenlawngnome,0,2,0
blahguy,wheep,0,2,0
drephen,tiger,0,0,-1
amida,nuggets,0,2,0
rik,rob gambino,0,2,0
metroid,blahguy,0,2,0
drephen,amida,0,2,0
rik,metroid,0,2,0
drephen,rik,1,0,2
wheep,mysterion,1,1,2
vaguba,ben kenobi,1,1,2
mysterion,brokenlawngnome,1,1,2
wes,jays on my feet jordan,1,0,2
ben kenobi,pk don,0,2,1
kman,signd0g,1,-1,0
nuggets,brokenlawngnome,0,2,0
tiger,jays on my feet jordan,1,-1,0
blahguy,ben kenobi,0,2,0
rob gambino,signd0g,1,0,2
nuggets,jays on my feet jordan,1,0,2
blahguy,signd0g,1,0,2
metroid,jays on my feet jordan,0,2,0
amida,signd0g,0,2,0
metroid,amida,0,2,1
drephen,metroid,0,-2,-2
fr0d,bell,1,0,2
fr0d,neon,1,0,2
bigshot,prilo,0,2,0
bigshot,jet,1,0,2
phil collins,bruff,0,0,-1
phil collins,stoneyb,0,2,1
the dormouse,suezo,1,1,2
prilo,tater,0,2,1
prilo,goobershadow,1,0,2
liberate,neon,0,2,0
liberate,jet,0,2,0
liberate,jet,1,0,2
bell,suezo,1,0,2
bell,jet,1,0,2
neon,goobershadow,1,0,2
milk,the dormouse,1,-1,0
milk,stoneyb,1,-1,0
iori,the dormouse,0,2,0
iori,liberate,0,2,0
iori,stoneyb,0,2,0
jet,suezo,0,2,0
jet,phil collins,0,2,0
goobershadow,suezo,1,0,2
captain faceroll,suezo,0,2,0
captain faceroll,phil collins,0,2,0
captain faceroll,iori,1,1,2
captain faceroll,jet,0,-2,-2
captain faceroll,anime,0,2,0
bruff,suezo,1,-1,0
stoneyb,tater,0,2,0
anime,suezo,1,0,2
anime,bigshot,0,2,0
anime,goobershadow,0,2,0
armada,iori,0,3,0
duck,colbol,0,3,2
mew2king,prince abu,0,3,0
westballz,the moon,1,2,3
hungrybox,rik,0,3,0
wizzrobe,dizzkidboogie,0,3,1
mang0,darkatma,0,3,0
sfat,druggedfox,0,3,1
armada,duck,0,3,0
mew2king,the moon,0,3,1
hungrybox,wizzrobe,1,0,3
mang0,sfat,0,3,1
armada,mew2king,0,-2,-2
wizzrobe,mang0,0,-2,-2
wenbobular,kraines,0,2,0
moogle,caup,0,2,0
flamin roy,dab,0,2,0
googlyeyed,schythed,0,2,0
lanceinthepants,toastyb,1,0,2
kpan,magi,0,2,0
drephen,zylo,0,2,0
ihavespaceballs,jet,0,2,0
little england,zilyn,0,2,0
taylorhj,sharkz,0,2,0
shinobi,fueg0,0,2,0
rice,tron,1,-1,0
reeve,dairdev1l,0,2,0
j00t,luigigoshard,1,0,2
captain faceroll,gato,0,2,0
mew,metroid,1,0,2
wenbobular,moogle,0,3,0
flamin roy,googlyeyed,1,1,3
toastyb,kpan,1,1,3
drephen,ihavespaceballs,0,3,0
little england,taylorhj,1,2,3
shinobi,tron,0,3,1
reeve,luigigoshard,0,3,0
captain faceroll,metroid,0,3,2
iori,wenbobular,0,3,1
colbol,googlyeyed,0,3,0
prince abu,kpan,0,3,0
westballz,drephen,0,3,1
rik,taylorhj,0,3,0
dizzkidboogie,shinobi,0,3,0
darkatma,reeve,0,3,1
druggedfox,captain faceroll,0,3,0
iori,colbol,1,0,3
prince abu,westballz,1,0,3
rik,dizzkidboogie,1,0,3
darkatma,druggedfox,1,2,3
sfat,colbol,0,3,1
hungrybox,westballz,0,3,0
the moon,dizzkidboogie,0,3,1
duck,druggedfox,0,3,2
sfat,hungrybox,0,-2,-2
the moon,duck,0,-2,-2
armada,mew2king,0,3,2
wizzrobe,mang0,1,2,3
armada,mang0,1,1,3
mang0,armada,0,3,0
sfat,hungrybox,1,1,3
the moon,duck,0,3,0
mew2king,hungrybox,0,3,0
wizzrobe,the moon,0,3,1
mew2king,wizzrobe,0,3,2
armada,mew2king,0,3,1
