P1, P2, set winner
noodle,~~boxed~~,0
gahtzu,r & r,0
rabbit,cow,1
trilok,a link named slykbacc,1
ibc,noodle,1
gahtzu,cow,0
a link named slykbacc,noodle,0
gahtzu,a link named slykbacc,0
ibc,life,0
trilok,regi$ philbin,0
rabbit,nost,1
r & r,~~boxed~~,0
ibc,trilok,1
nost,r & r,1
cow,trilok,1
noodle,r & r,0
trilok,noodle,0
a link named slykbacc,trilok,0
zeeop,noon,0
smirked,dog+,0
lunar,kenpachi,0
dorsh,kickpunch,1
ny_lights,sev,1
syrox,zeeop,0
smirked,lunar,0
emodinosaur,kickpunch,0
flotsam,sev,0
syrox,smirked,0
emodinosaur,flotsam,0
syrox,emodinosaur,0
dog+,kenpachi,1
sev,noon,1
kickpunch,kenpachi,0
lunar,dorsh,0
zeeop,ny_lights,0
noon,kickpunch,1
lunar,zeeop,1
smirked,kickpunch,0
flotsam,zeeop,1
smirked,zeeop,1
emodinosaur,zeeop,0
djit,sam,0
skyles,peanut,1
2jayys,sasquatch,0
bench,turnup_xd,0
sypherphoenix,djit,0
grognar,peanut,0
monib,2jayys,0
ferocitii,bench,0
sypherphoenix,grognar,0
monib,ferocitii,1
sypherphoenix,ferocitii,0
bench,sam,0
2jayys,skyles,0
peanut,sasquatch,0
djit,turnup_xd,1
bench,2jayys,0
peanut,turnup_xd,0
grognar,bench,0
monib,peanut,0
grognar,monib,1
ferocitii,monib,0
osubrandon,seek,0
rush,pratmire,0
shanondorf,vaccine,0
drugfreechu,dboi,0
swiftbass,osubrandon,0
delay,rush,0
j,shanondorf,0
deep fox,drugfreechu,1
swiftbass,delay,0
j,drugfreechu,1
swiftbass,drugfreechu,0
deep fox,seek,0
shanondorf,pratmire,0
rush,vaccine,0
osubrandon,dboi,1
deep fox,shanondorf,0
rush,dboi,1
delay,deep fox,1
j,dboi,0
deep fox,j,1
drugfreechu,j,0
iycewynd,pawn,0
spamgeorgio,burnyay,0
lempo,stone watcher,1
cadence,shug,1
sunwalker,action master,1
swedish delight,iycewynd,0
spamgeorgio,stone watcher,0
tran,shug,0
den,action master,0
swedish delight,spamgeorgio,0
tran,den,0
swedish delight,tran,0
burnyay,lempo,1
action master,pawn,0
shug,lempo,0
stone watcher,cadence,0
iycewynd,sunwalker,0
action master,shug,0
stone watcher,iycewynd,1
spamgeorgio,action master,1
den,iycewynd,0
action master,den,1
tran,den,0
radiowar,iceey,0
spitx,zamu,1
allpain,mak,1
risu,junpei,1
ginger,radiowar,0
dizcofunk,zamu,1
quindelin,mak,0
slug,junpei,0
ginger,zamu,0
quindelin,slug,1
ginger,slug,0
junpei,iceey,0
mak,spitx,0
dizcofunk,allpain,1
radiowar,risu,0
junpei,mak,1
allpain,radiowar,1
zamu,mak,0
quindelin,radiowar,0
zamu,quindelin,1
slug,quindelin,0
jaji,keams,1
eon,wterka,0
sweetdee,astro,0
hank,bick.trip,0
tang,keams,0
rushhour,eon,1
tapion,sweetdee,0
havok,hank,1
tang,eon,0
tapion,hank,0
tang,tapion,0
havok,jaji,0
sweetdee,wterka,0
rushhour,astro,1
keams,bick.trip,1
havok,sweetdee,0
astro,bick.trip,1
eon,havok,0
hank,bick.trip,0
eon,hank,1
tapion,hank,0
anjel,rugaru,1
miles,nice boy,1
waves,brett,0
nugget,sneker,1
usleon,rugaru,0
juicy,nice boy,1
pgh carroll,waves,0
808,sneker,1
usleon,nice boy,1
pgh carroll,sneker,0
nice boy,pgh carroll,1
808,anjel,0
waves,miles,0
juicy,brett,1
rugaru,nugget,1
808,waves,1
brett,nugget,1
usleon,waves,0
sneker,nugget,0
usleon,sneker,0
nice boy,usleon,0
jwalker,lightsoul,0
masterdong,ppsd,0
plautus,rosilius,0
shydude,duhssert,1
jonathan cotto,jaypee,0
vanity angel,jwalker,0
masterdong,plautus,0
ryse,duhssert,0
brian,jonathan cotto,0
vanity angel,masterdong,0
ryse,brian,1
vanity angel,brian,0
ppsd,rosilius,0
jonathan cotto,lightsoul,0
duhssert,ppsd,0
plautus,shydude,1
jwalker,jaypee,0
jonathan cotto,duhssert,0
shydude,jwalker,1
masterdong,jonathan cotto,1
ryse,jwalker,0
jonathan cotto,ryse,0
brian,jonathan cotto,0
funkymacgee,nrg,0
you,d ray today,0
mac,signd0g,1
$pud,bcn,1
cday,~20%,1
vinodh,funkymacgee,0
you,signd0g,1
phish-it,bcn,0
epengu,~20%,1
vinodh,signd0g,0
phish-it,~20%,0
vinodh,phish-it,0
d ray today,mac,1
epengu,nrg,0
bcn,mac,0
you,$pud,0
funkymacgee,cday,0
epengu,bcn,0
you,funkymacgee,0
signd0g,epengu,0
~20%,you,0
signd0g,~20%,0
phish-it,signd0g,0
ash,vanna black,0
batteriez,king boolean,1
tess,master sergeon,0
phaedrus,mang0jr,0
lint,ash,0
wolff,king boolean,0
peanutphobia,tess,0
suidt,phaedrus,0
lint,wolff,0
peanutphobia,suidt,0
lint,peanutphobia,0
phaedrus,vanna black,0
tess,batteriez,0
king boolean,master sergeon,1
ash,mang0jr,1
phaedrus,tess,1
master sergeon,mang0jr,1
wolff,tess,1
suidt,mang0jr,0
tess,suidt,1
peanutphobia,suidt,0
the garbage man,jaybird klutz,1
hiro,arol,1
chrism,xanmor,1
lectril,ritalin-and-steak,1
ibdw,jaybird klutz,0
amae,arol,1
lain,xanmor,0
ten,ritalin-and-steak,0
ibdw,arol,0
lain,ten,0
ibdw,lain,0
ritalin-and-steak,the garbage man,0
xanmor,hiro,0
amae,chrism,0
jaybird klutz,lectril,0
ritalin-and-steak,xanmor,1
amae,jaybird klutz,1
arol,xanmor,1
ten,jaybird klutz,1
xanmor,jaybird klutz,0
lain,xanmor,0
sp1nda,near,1
thinking man,kaiser,1
drybones,rappsody,1
iamse7en,ken2,1
dunk,near,0
faceoats,kaiser,1
dope,rappsody,0
stevie b,ken2,1
dunk,kaiser,0
dope,ken2,0
dunk,dope,1
stevie b,sp1nda,1
rappsody,thinking man,0
faceoats,drybones,1
near,iamse7en,0
sp1nda,rappsody,1
drybones,near,1
kaiser,rappsody,1
ken2,near,1
rappsody,near,1
dunk,near,0
joshers,| flashburn 117,1
orana,enjoy,1
wiggles,puppeh,1
smith,hamer,0
mongoose,jabloinks,0
dizzkidboogie,| flashburn 117,0
enjoy,puppeh,1
rowan,smith,0
jf,mongoose,0
dizzkidboogie,puppeh,0
rowan,jf,1
dizzkidboogie,jf,0
orana,wiggles,1
mongoose,joshers,0
smith,wiggles,0
enjoy,hamer,0
| flashburn 117,jabloinks,0
mongoose,smith,1
enjoy,| flashburn 117,1
puppeh,smith,0
rowan,| flashburn 117,1
puppeh,| flashburn 117,1
jf,| flashburn 117,0
monkbard,mfsa,1
turkish delight,dingo,1
elliot,m00nbarker,1
pablobear8,gorx,0
darkrain,mfsa,1
biff$$$$,dingo,1
seeze,m00nbarker,1
pyro,pablobear8,0
mfsa,dingo,0
m00nbarker,pyro,1
mfsa,pyro,0
pablobear8,monkbard,0
seeze,turkish delight,0
biff$$$$,elliot,1
darkrain,gorx,1
pablobear8,seeze,0
elliot,gorx,0
dingo,pablobear8,1
m00nbarker,elliot,0
pablobear8,m00nbarker,0
pyro,pablobear8,0
comment,heck,1
king potato,surskim,0
gls | krump,nick,0
agyle,cablebox,1
captain faceroll,heck,0
mattan,king potato,1
kason,gls | krump,0
| sled,cablebox,0
captain faceroll,king potato,0
kason,| sled,0
captain faceroll,kason,0
cablebox,comment,0
gls | krump,surskim,0
mattan,nick,0
heck,agyle,0
cablebox,gls | krump,1
mattan,heck,0
king potato,gls | krump,0
| sled,mattan,0
king potato,| sled,0
kason,king potato,0
sonofashepherd,theschmuck33,0
theboy,cigs,1
slock,woofpack,0
therocketinyourpocket,ilikeswamperts,0
captain smuckers,sonofashepherd,0
zimmer,cigs,1
desseler,slock,0
nexic,therocketinyourpocket,0
captain smuckers,cigs,0
desseler,nexic,0
captain smuckers,desseler,0
therocketinyourpocket,theschmuck33,0
slock,theboy,0
zimmer,woofpack,0
sonofashepherd,ilikeswamperts,0
therocketinyourpocket,slock,0
zimmer,sonofashepherd,1
cigs,therocketinyourpocket,1
nexic,sonofashepherd,0
therocketinyourpocket,nexic,1
desseler,nexic,0
pops,noopers,0
omd,koj,0
captaindirtybird,rottenyogurt,1
kil,don,1
chillindude,pops,0
freakydashiki,omd,1
logos,rottenyogurt,0
duel,don,0
chillindude,omd,0
logos,duel,0
chillindude,logos,0
don,noopers,0
rottenyogurt,koj,0
freakydashiki,captaindirtybird,1
pops,kil,0
don,rottenyogurt,0
captaindirtybird,pops,1
omd,don,1
duel,pops,0
don,duel,1
logos,duel,0
jonah,ruthy,0
yung zunga,tusk,0
providerofsouls,dz,0
lildoozie,randy butternubs,0
zhu,jonah,0
abc,yung zunga,1
fooly,providerofsouls,0
fluid,lildoozie,0
zhu,yung zunga,0
fooly,fluid,1
zhu,fluid,0
lildoozie,ruthy,0
providerofsouls,tusk,1
abc,dz,0
jonah,randy butternubs,0
lildoozie,tusk,0
abc,jonah,1
yung zunga,lildoozie,0
fooly,jonah,0
yung zunga,fooly,1
fluid,fooly,0
gillionayre,marionette,0
solarbear,zhea,1
lanz,european greazemans,1
saucetin,miggy,0
chudat,gillionayre,0
mesmerist,zhea,1
yomi,european greazemans,0
treetz,saucetin,0
chudat,zhea,0
yomi,treetz,0
chudat,yomi,0
saucetin,marionette,0
european greazemans,solarbear,0
mesmerist,lanz,1
gillionayre,miggy,1
saucetin,european greazemans,1
lanz,miggy,1
zhea,european greazemans,0
treetz,miggy,0
zhea,treetz,1
yomi,treetz,0
pas,fija,0
dankpank,dream,1
jujubeen,psythr,1
boy,renke,1
zealous5000,pas,0
tjd,dream,0
tranimal,psythr,0
mementomori,renke,1
zealous5000,tjd,0
tranimal,renke,0
zealous5000,tranimal,0
mementomori,fija,0
psythr,dankpank,0
dream,jujubeen,0
pas,boy,0
mementomori,psythr,0
dream,pas,1
tjd,mementomori,1
renke,pas,1
mementomori,pas,0
tranimal,mementomori,0
tabasco,reggie,1
jmlee337,wepeel,0
starsoldier,slartibartfast42,1
| free inui,mrjungstuffed,1
shreddern64,yungwavedash,1
zanguzen,reggie,0
jmlee337,slartibartfast42,1
brtarolg,mrjungstuffed,0
papyrus,yungwavedash,0
zanguzen,slartibartfast42,0
brtarolg,papyrus,0
zanguzen,brtarolg,0
wepeel,starsoldier,0
yungwavedash,tabasco,0
mrjungstuffed,wepeel,0
jmlee337,| free inui,0
reggie,shreddern64,0
yungwavedash,mrjungstuffed,0
jmlee337,reggie,1
slartibartfast42,yungwavedash,0
papyrus,reggie,1
slartibartfast42,reggie,0
brtarolg,slartibartfast42,0
veloc,butt zone,1
thomas the legend,other jon,0
king james,cosmic,1
splash,eight oh eight,1
zain,butt zone,0
jayfro,thomas the legend,0
patcake,cosmic,0
weeaboo,eight oh eight,0
zain,jayfro,0
patcake,weeaboo,0
zain,patcake,0
eight oh eight,veloc,0
cosmic,other jon,0
thomas the legend,king james,0
butt zone,splash,0
eight oh eight,cosmic,0
thomas the legend,butt zone,0
jayfro,eight oh eight,1
weeaboo,thomas the legend,0
eight oh eight,weeaboo,1
patcake,weeaboo,0
that0neguy,dr.g,1
orbit,snow,0
fluffs,nachloride,0
italian n1nja,$wank,1
coffeeblack,dr.g,0
bird,orbit,1
gar,fluffs,0
ryf1sh,$wank,0
coffeeblack,orbit,0
gar,ryf1sh,0
coffeeblack,gar,0
$wank,that0neguy,0
fluffs,snow,0
bird,nachloride,1
dr.g,italian n1nja,1
$wank,fluffs,1
nachloride,italian n1nja,0
orbit,fluffs,1
ryf1sh,nachloride,0
fluffs,ryf1sh,0
gar,fluffs,0
fez2,hoogsen,1
rumble,c#,1
pvtches,snak37,0
cookiemonsta,ladies,0
colbol,hoogsen,0
hrsalt,c#,1
cava,pvtches,0
village mascot,cookiemonsta,1
colbol,c#,0
cava,cookiemonsta,1
colbol,cookiemonsta,0
village mascot,fez2,0
