T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
ho,g~p,el_bardo,robo~luigi,1,0,2
greward,yikarur,cyanide,cfive,0,-2,-2
meru,soreru,scrm,kweet,0,2,1
eddy,light,clade,easzy,0,2,1
boomuki,cyfersquad,yoren,scarhi,1,1,2
xzx,ccst,kesa,marm',1,0,2
el_bardo,robo~luigi,greward,yikarur,0,2,0
meru,soreru,eddy,light,1,0,2
gregs,istudying,yoren,scarhi,0,2,0
izaw,smashsk,kesa,marm',0,2,0
anaky,j.miller,el_bardo,robo~luigi,1,0,2
sodrek,long0uw,eddy,light,0,2,1
gregs,istudying,izaw,smashsk,0,2,0
el_bardo,robo~luigi,sodrek,long0uw,1,0,2
luigi player,vyq,gregs,istudying,0,2,1
pikaforlife,s1-14,sodrek,long0uw,1,0,2
luigi player,vyq,sodrek,long0uw,1,0,2
cyve,mr.r,sodrek,long0uw,0,3,1
